month,currency,mportret,mportretx,USD_per_AUD
2002-01,AUD,0.0141440119139,0.0141209504568,0.517
2002-02,AUD,-0.0009394183192000001,-0.0022347152232,0.5128
2002-03,AUD,0.0027324943783199997,-0.0010060803936,0.5256
2002-04,AUD,-0.0076544180904000005,-0.0082551774144,0.5352
2002-05,AUD,-0.00011204154279999998,-0.000963015935,0.5498
2002-06,AUD,-0.0152029461378,-0.0181442601432,0.5682
2002-07,AUD,-0.0209423030934,-0.0232307542194,0.5538
2002-08,AUD,0.008773317757539999,0.0067451333457,0.5413
2002-09,AUD,-0.021611147945999998,-0.025643009624999998,0.5465
2002-10,AUD,0.00667164035916,0.005168552885580001,0.5502
2002-11,AUD,-0.0030990243015,-0.0060331813218,0.5613
2002-12,AUD,-0.0055904753360000005,-0.010514523544000001,0.5624
2003-01,AUD,-0.008148611495699998,-0.008220044724899999,0.5829
2003-02,AUD,-0.0316335673556,-0.033545167592800004,0.5956
2003-03,AUD,0.024057233521050003,0.0117232274211,0.6015
2003-04,AUD,0.02798072562,0.027337029464,0.61
2003-05,AUD,0.00328532215704,0.0016764695732400003,0.6468
2003-06,AUD,0.012238454169440001,0.00798337538276,0.6652
2003-07,AUD,0.023461066790579996,0.02319746711337,0.6607
2003-08,AUD,0.018475597747340002,0.016231691513340002,0.6518
2003-09,AUD,0.00506181993625,-0.0006084421065,0.6635
2003-10,AUD,0.02433643853292,0.02332612700424,0.6948
2003-11,AUD,-0.0111592260828,-0.015276857709,0.7158
2003-12,AUD,0.02656827300637,0.0221498853866,0.7391
2004-01,AUD,-0.0052904842691,-0.0053212612085,0.7717
2004-02,AUD,0.0228895421454,0.020040802026,0.777
2004-03,AUD,0.01706993325256,0.01079488518072,0.7496
2004-04,AUD,-0.006451177080599999,-0.007494899294699999,0.7443
2004-05,AUD,0.008112186423489999,0.00679373568843,0.7039
2004-06,AUD,0.022006695172559997,0.01814966601168,0.6937
2004-07,AUD,0.0060250681144500004,0.00579794869269,0.7161
2004-08,AUD,0.01463351612996,0.009985470143479998,0.7111
2004-09,AUD,0.025481167575919998,0.02236101810152,0.7028
2004-10,AUD,0.027374719426120003,0.02654576000021,0.7337
2004-11,AUD,0.035624012009759995,0.03127039047144,0.7704
2004-12,AUD,0.02024455219225,0.020101539696,0.7675
2005-01,AUD,0.01508247115236,0.014954397149160002,0.7668
2005-02,AUD,0.01794393963936,0.01334323964988,0.7812
2005-03,AUD,-0.0070078096008,-0.013143722882400002,0.7848
2005-04,AUD,-0.025360826851,-0.0260943567514,0.7738
2005-05,AUD,0.02076256117474,0.01927178437277,0.7663
2005-06,AUD,0.03473717292287,0.03057004847809,0.7667
2005-07,AUD,0.0035256391829999994,0.00304144533,0.7524
2005-08,AUD,0.01386003609594,0.00963727453962,0.7614
2005-09,AUD,0.03826539648484,0.03201455121368,0.7651
2005-10,AUD,-0.026641223718999997,-0.0273850721375,0.7535
2005-11,AUD,0.027907551567449996,0.022686873184709997,0.7353
2005-12,AUD,0.0205726633788,0.018623695790179997,0.7423
2006-01,AUD,0.0270747313457,0.027035518771399994,0.7505
2006-02,AUD,0.0069441585595,0.00090965939988,0.7418
2006-03,AUD,0.03129659940624,0.02757394742928,0.7266
2006-04,AUD,0.02033916459377,0.01997957699531,0.7369
2006-05,AUD,-0.0334009729086,-0.035349897228400005,0.7639
2006-06,AUD,0.01335717652619,0.0091304725456,0.7399
2006-07,AUD,-0.0092346111504,-0.010299783252,0.7528
2006-08,AUD,0.02535399482915,0.01936557994137,0.7631
2006-09,AUD,0.01009242221526,0.00567839622441,0.7549
2006-10,AUD,0.034332740680639996,0.03276451832776,0.7544
2006-11,AUD,0.018961613304480002,0.015403620079680002,0.7728
2006-12,AUD,0.02984089039334,0.028017617905440002,0.7858
2007-01,AUD,0.015009914421319999,0.014943033268799998,0.7826
2007-02,AUD,0.0135549579006,0.0084524471811,0.783
2007-03,AUD,0.02754095562456,0.023352091569000002,0.7932
