observation_date,EXUSSZ
2002-01-01,0.5985
2002-02-01,0.5893
2002-03-01,0.5973
2002-04-01,0.6045
2002-05-01,0.6294
2002-06-01,0.6494
2002-07-01,0.6794
2002-08-01,0.6679
2002-09-01,0.6697
2002-10-01,0.6697
2002-11-01,0.6822
2002-12-01,0.695
2003-01-01,0.7265
2003-02-01,0.7352
2003-03-01,0.7345
2003-04-01,0.7255
2003-05-01,0.7627
2003-06-01,0.7578
2003-07-01,0.7347
2003-08-01,0.7241
2003-09-01,0.7276
2003-10-01,0.7563
2003-11-01,0.7509
2003-12-01,0.791
2004-01-01,0.807
2004-02-01,0.8033
2004-03-01,0.7826
2004-04-01,0.7711
2004-05-01,0.7789
2004-06-01,0.7998
2004-07-01,0.8031
2004-08-01,0.7922
2004-09-01,0.7918
2004-10-01,0.811
2004-11-01,0.8539
2004-12-01,0.8722
2005-01-01,0.848
2005-02-01,0.8391
2005-03-01,0.8506
2005-04-01,0.8365
2005-05-01,0.8216
2005-06-01,0.7896
2005-07-01,0.7725
2005-08-01,0.7918
2005-09-01,0.7892
2005-10-01,0.7764
2005-11-01,0.7628
2005-12-01,0.7661
2006-01-01,0.7829
2006-02-01,0.7662
2006-03-01,0.7663
2006-04-01,0.7794
2006-05-01,0.8203
2006-06-01,0.8116
2006-07-01,0.808
2006-08-01,0.8118
2006-09-01,0.8029
2006-10-01,0.7935
2006-11-01,0.8093
2006-12-01,0.8265
2007-01-01,0.8044
2007-02-01,0.8069
2007-03-01,0.8212
2007-04-01,0.8248
2007-05-01,0.8189
2007-06-01,0.811
2007-07-01,0.8286
2007-08-01,0.8315
2007-09-01,0.8437
2007-10-01,0.8517
2007-11-01,0.8902
2007-12-01,0.877
2008-01-01,0.9086
2008-02-01,0.9183
2008-03-01,0.9876
2008-04-01,0.9864
2008-05-01,0.9571
2008-06-01,0.9642
2008-07-01,0.9725
2008-08-01,0.9224
2008-09-01,0.9007
2008-10-01,0.875
2008-11-01,0.8396
2008-12-01,0.8769
2009-01-01,0.8875
2009-02-01,0.8592
2009-03-01,0.8654
2009-04-01,0.871
2009-05-01,0.9029
2009-06-01,0.9252
2009-07-01,0.9276
2009-08-01,0.9361
2009-09-01,0.9624
2009-10-01,0.9791
2009-11-01,0.9871
2009-12-01,0.9708
2010-01-01,0.9667
2010-02-01,0.9327
2010-03-01,0.9376
2010-04-01,0.9355
2010-05-01,0.8853
2010-06-01,0.8885
2010-07-01,0.9497
2010-08-01,0.9626
2010-09-01,0.9998
2010-10-01,1.0324
2010-11-01,1.0155
2010-12-01,1.0321
2011-01-01,1.0455
2011-02-01,1.0526
2011-03-01,1.0887
2011-04-01,1.1146
2011-05-01,1.1442
2011-06-01,1.1903
2011-07-01,1.2174
2011-08-01,1.2821
2011-09-01,1.1406
2011-10-01,1.1163
2011-11-01,1.1014
2011-12-01,1.0714
2012-01-01,1.0666
2012-02-01,1.0967
2012-03-01,1.0952
2012-04-01,1.0949
2012-05-01,1.0658
2012-06-01,1.0443
2012-07-01,1.0222
2012-08-01,1.033
2012-09-01,1.0654
2012-10-01,1.0726
2012-11-01,1.0652
2012-12-01,1.0854
2013-01-01,1.083
2013-02-01,1.0855
2013-03-01,1.0564
2013-04-01,1.0677
2013-05-01,1.0464
2013-06-01,1.0717
2013-07-01,1.0583
2013-08-01,1.0798
2013-09-01,1.0833
2013-10-01,1.108
2013-11-01,1.0954
2013-12-01,1.1194
2014-01-01,1.1064
2014-02-01,1.1189
2014-03-01,1.1357
2014-04-01,1.1328
2014-05-01,1.1257
2014-06-01,1.1163
2014-07-01,1.1138
2014-08-01,1.0991
2014-09-01,1.0672
2014-10-01,1.0495
2014-11-01,1.0371
2014-12-01,1.0253
2015-01-01,1.059
2015-02-01,1.0683
2015-03-01,1.0206
2015-04-01,1.0422
2015-05-01,1.0734
2015-06-01,1.0728
2015-07-01,1.0474
2015-08-01,1.0325
2015-09-01,1.0283
2015-10-01,1.0323
2015-11-01,0.9903
2015-12-01,1.0049
2016-01-01,0.9919
2016-02-01,1.0081
2016-03-01,1.0193
2016-04-01,1.038
2016-05-01,1.0228
2016-06-01,1.0315
2016-07-01,1.0173
2016-08-01,1.0298
2016-09-01,1.0275
2016-10-01,1.0126
2016-11-01,1.0037
2016-12-01,0.981
2017-01-01,0.9926
2017-02-01,0.999
2017-03-01,0.9985
2017-04-01,0.9991
2017-05-01,1.0135
2017-06-01,1.033
2017-07-01,1.0412
2017-08-01,1.0359
2017-09-01,1.039
2017-10-01,1.0182
2017-11-01,1.0086
2017-12-01,1.0132
2018-01-01,1.0412
2018-02-01,1.0689
2018-03-01,1.0549
2018-04-01,1.0323
2018-05-01,1.0031
2018-06-01,1.0101
2018-07-01,1.0052
2018-08-01,1.0121
2018-09-01,1.0327
2018-10-01,1.006
2018-11-01,0.9989
2018-12-01,1.0082
2019-01-01,1.0104
2019-02-01,0.9986
2019-03-01,0.9995
2019-04-01,0.9917
2019-05-01,0.9894
2019-06-01,1.0121
2019-07-01,1.0121
2019-08-01,1.0218
2019-09-01,1.0095
2019-10-01,1.007
2019-11-01,1.0072
2019-12-01,1.0177
2020-01-01,1.0311
2020-02-01,1.0244
2020-03-01,1.0424
2020-04-01,1.0308
2020-05-01,1.0318
2020-06-01,1.0512
2020-07-01,1.0722
2020-08-01,1.099
2020-09-01,1.093
2020-10-01,1.096
2020-11-01,1.0977
2020-12-01,1.1256
2021-01-01,1.128
2021-02-01,1.1137
2021-03-01,1.0755
2021-04-01,1.0848
2021-05-01,1.1078
2021-06-01,1.1016
2021-07-01,1.09
2021-08-01,1.0933
2021-09-01,1.0837
2021-10-01,1.0838
2021-11-01,1.0854
2021-12-01,1.0858
2022-01-01,1.088
2022-02-01,1.0837
2022-03-01,1.076
2022-04-01,1.0582
2022-05-01,1.02
2022-06-01,1.0307
2022-07-01,1.0308
2022-08-01,1.0445
2022-09-01,1.0274
2022-10-01,1.0051
2022-11-01,1.0352
2022-12-01,1.0734
2023-01-01,1.0821
2023-02-01,1.0801
2023-03-01,1.0805
2023-04-01,1.113
2023-05-01,1.114
2023-06-01,1.1106
2023-07-01,1.1464
2023-08-01,1.1386
2023-09-01,1.1116
2023-10-01,1.1068
2023-11-01,1.1233
2023-12-01,1.1563
2024-01-01,1.164
2024-02-01,1.1401
2024-03-01,1.1254
2024-04-01,1.099
2024-05-01,1.1004
2024-06-01,1.1188
2024-07-01,1.1215
2024-08-01,1.1656
2024-09-01,1.1804
2024-10-01,1.161
2024-11-01,1.1352
2024-12-01,1.1216
