date,vwretd,vwretx
2002-01-31,-0.015966,-0.016921
2002-02-28,-0.021700,-0.023066
2002-03-28,0.044698,0.043730
2002-04-30,-0.049600,-0.050504
2002-05-31,-0.010510,-0.011958
2002-06-28,-0.070259,-0.071515
2002-07-31,-0.081125,-0.082310
2002-08-30,0.007949,0.006405
2002-09-30,-0.099923,-0.101387
2002-10-31,0.074940,0.073522
2002-11-29,0.061282,0.059612
2002-12-31,-0.053334,-0.054977
2003-01-31,-0.023367,-0.024576
2003-02-28,-0.015417,-0.017243
2003-03-31,0.010321,0.008901
2003-04-30,0.082768,0.081180
2003-05-30,0.063471,0.061778
2003-06-30,0.016346,0.014797
2003-07-31,0.023112,0.021764
2003-08-29,0.024965,0.023486
2003-09-30,-0.009120,-0.010607
2003-10-31,0.060361,0.058882
2003-11-28,0.016594,0.015052
2003-12-31,0.045476,0.043820
2004-01-30,0.023042,0.022019
2004-02-27,0.015443,0.013958
2004-03-31,-0.010662,-0.011985
2004-04-30,-0.024222,-0.025568
2004-05-28,0.014068,0.012384
2004-06-30,0.021611,0.020049
2004-07-30,-0.037698,-0.038792
2004-08-31,0.002703,0.001058
2004-09-30,0.020556,0.019099
2004-10-29,0.017806,0.016579
2004-11-30,0.048214,0.044320
2004-12-31,0.035170,0.033414
2005-01-31,-0.026546,-0.027399
2005-02-28,0.022646,0.020810
2005-03-31,-0.016944,-0.018578
2005-04-29,-0.025206,-0.026590
2005-05-31,0.037954,0.036151
2005-06-30,0.011529,0.009905
2005-07-29,0.043357,0.042251
2005-08-31,-0.005958,-0.007776
2005-09-30,0.010600,0.009331
2005-10-31,-0.020866,-0.021974
2005-11-30,0.040326,0.038073
2005-12-30,0.003458,0.001884
2006-01-31,0.040072,0.038966
2006-02-28,-0.001639,-0.003552
2006-03-31,0.019065,0.017598
2006-04-28,0.013000,0.011530
2006-05-31,-0.031032,-0.033010
2006-06-30,-0.000391,-0.001887
2006-07-31,-0.001912,-0.002955
2006-08-31,0.025041,0.022968
2006-09-29,0.019425,0.018110
2006-10-31,0.037153,0.036107
2006-11-30,0.023736,0.021374
2006-12-29,0.010857,0.009154
2007-01-31,0.019387,0.018452
2007-02-28,-0.014006,-0.015996
2007-03-30,0.012954,0.011479
2007-04-30,0.039834,0.038470
2007-05-31,0.038953,0.036666
2007-06-29,-0.014747,-0.016110
2007-07-31,-0.031790,-0.032792
2007-08-31,0.011593,0.009641
2007-09-28,0.040822,0.039306
2007-10-31,0.025910,0.024770
2007-11-30,-0.049362,-0.051309
2007-12-31,-0.004405,-0.006493
2008-01-31,-0.062218,-0.063321
2008-02-29,-0.021697,-0.023636
2008-03-31,-0.010444,-0.012186
2008-04-30,0.051199,0.049876
2008-05-30,0.023935,0.021621
2008-06-30,-0.078436,-0.080249
2008-07-31,-0.013413,-0.014759
2008-08-29,0.010597,0.008608
2008-09-30,-0.098172,-0.099959
2008-10-31,-0.184833,-0.186319
2008-11-28,-0.084681,-0.087420
2008-12-31,0.022232,0.019166
2009-01-30,-0.077471,-0.078863
2009-02-27,-0.100166,-0.103353
2009-03-31,0.086803,0.083548
2009-04-30,0.109466,0.107632
2009-05-29,0.067787,0.065137
2009-06-30,-0.003019,-0.004962
2009-07-31,0.081779,0.080360
2009-08-31,0.031510,0.029351
2009-09-30,0.045281,0.043643
2009-10-30,-0.028072,-0.029326
2009-11-30,0.057075,0.054619
2009-12-31,0.028475,0.026449
2010-01-29,-0.037172,-0.038184
2010-02-26,0.034744,0.032657
2010-03-31,0.063668,0.061985
2010-04-30,0.020036,0.018924
2010-05-28,-0.079240,-0.081328
2010-06-30,-0.050780,-0.052520
2010-07-30,0.070360,0.068664
2010-08-31,-0.042863,-0.044989
2010-09-30,0.091628,0.089747
2010-10-29,0.038591,0.037071
2010-11-30,0.005117,0.002917
2010-12-31,0.067182,0.064850
2011-01-31,0.019183,0.018231
2011-02-28,0.038156,0.036223
2011-03-31,0.003341,0.001758
2011-04-29,0.028597,0.027483
2011-05-31,-0.014948,-0.016956
2011-06-30,-0.018447,-0.020211
2011-07-29,-0.022534,-0.023674
2011-08-31,-0.057564,-0.059704
2011-09-30,-0.084983,-0.086672
2011-10-31,0.114146,0.112735
2011-11-30,-0.006270,-0.008937
2011-12-30,0.003676,0.001428
2012-01-31,0.054106,0.052960
2012-02-29,0.041225,0.038953
2012-03-30,0.024020,0.022138
2012-04-30,-0.006829,-0.008046
2012-05-31,-0.065590,-0.068005
2012-06-29,0.038151,0.036049
2012-07-31,0.010307,0.009055
2012-08-31,0.026317,0.023718
2012-09-28,0.026513,0.024564
2012-10-31,-0.014055,-0.015502
