date,country,currency,mportret,mportretx
2002-01-31,FRANCE,EUR,-0.027104847,-0.027305674
2002-02-28,FRANCE,EUR,-0.004393968,-0.004447492
2002-03-28,FRANCE,EUR,0.052081015,0.0519427042
2002-04-30,FRANCE,EUR,-0.043987714,-0.045754629
2002-05-31,FRANCE,EUR,-0.028016134,-0.035486643
2002-06-28,FRANCE,EUR,-0.080806147,-0.086672698
2002-07-31,FRANCE,EUR,-0.104068971,-0.105257961
2002-08-30,FRANCE,EUR,-0.004620805,-0.004629202
2002-09-30,FRANCE,EUR,-0.148606031,-0.148650901
2002-10-31,FRANCE,EUR,0.1104646988,0.1102100773
2002-11-29,FRANCE,EUR,0.0461912297,0.0461705176
2002-12-31,FRANCE,EUR,-0.064535063,-0.064980283
2003-01-31,FRANCE,EUR,-0.040872025,-0.04094801
2003-02-28,FRANCE,EUR,-0.052369477,-0.052398274
2003-03-31,FRANCE,EUR,-0.043774994,-0.044007004
2003-04-30,FRANCE,EUR,0.1133562379,0.1092670526
2003-05-30,FRANCE,EUR,0.0324044179,0.0211007183
2003-06-30,FRANCE,EUR,0.0340942274,0.02771287
2003-07-31,FRANCE,EUR,0.0365150686,0.0360353175
2003-08-29,FRANCE,EUR,0.0340662547,0.0340563448
2003-09-30,FRANCE,EUR,-0.039798104,-0.039914859
2003-10-31,FRANCE,EUR,0.0668841352,0.0667555212
2003-11-28,FRANCE,EUR,0.0133752337,0.0133562068
2003-12-31,FRANCE,EUR,0.0329625228,0.0327539322
2004-01-30,FRANCE,EUR,0.0288847298,0.0288081671
2004-02-27,FRANCE,EUR,0.0266833972,0.0266597794
2004-03-31,FRANCE,EUR,-0.019027194,-0.019190643
2004-04-30,FRANCE,EUR,0.0091955041,0.008063883
2004-05-31,FRANCE,EUR,0.0101372719,-0.002652311
2004-06-30,FRANCE,EUR,0.0259454959,0.0193375798
2004-07-30,FRANCE,EUR,-0.018663707,-0.018942011
2004-08-31,FRANCE,EUR,-0.008705546,-0.008716104
2004-09-30,FRANCE,EUR,0.0140860461,0.0140081208
2004-10-29,FRANCE,EUR,0.0170118795,0.0167739552
2004-11-30,FRANCE,EUR,0.0155545218,0.0139157898
2004-12-31,FRANCE,EUR,0.0228371061,0.0213340956
2005-01-31,FRANCE,EUR,0.0307185371,0.0279789953
2005-02-28,FRANCE,EUR,0.0342223713,0.0341717065
2005-03-31,FRANCE,EUR,0.0082029426,0.0076109321
2005-04-29,FRANCE,EUR,-0.027646433,-0.029647046
2005-05-31,FRANCE,EUR,0.061642737,0.0488031861
2005-06-30,FRANCE,EUR,0.0321266442,0.0272159751
2005-07-28,FRANCE,EUR,0.050931388,0.0501075269
2005-08-30,FRANCE,EUR,-0.01550732,-0.015515764
2005-09-29,FRANCE,EUR,0.0421948585,0.0421553255
2005-10-31,FRANCE,EUR,-0.038249989,-0.038478469
2005-11-30,FRANCE,EUR,0.0312637137,0.0289707457
2005-12-30,FRANCE,EUR,0.0326556663,0.0322934489
2006-01-31,FRANCE,EUR,0.0460088566,0.0458884319
2006-02-28,FRANCE,EUR,0.0135612634,0.0135318875
2006-03-31,FRANCE,EUR,0.0421849102,0.0420246364
2006-04-28,FRANCE,EUR,0.0017975571,0.0012197878
2006-05-31,FRANCE,EUR,-0.038862586,-0.055350779
2006-06-30,FRANCE,EUR,0.0116952003,0.0054220929
2006-07-31,FRANCE,EUR,0.0097619611,0.0090886005
2006-08-31,FRANCE,EUR,0.0322347833,0.0322281279
2006-09-29,FRANCE,EUR,0.0168021892,0.0166308767
2006-10-31,FRANCE,EUR,0.0214730226,0.0212824789
2006-11-30,FRANCE,EUR,0.0057862795,0.0021581247
2006-12-29,FRANCE,EUR,0.0446811248,0.0441984217
2007-01-31,FRANCE,EUR,0.0108670635,0.0107741453
2007-02-28,FRANCE,EUR,-0.010343068,-0.01056922
2007-03-30,FRANCE,EUR,0.0318992482,0.0318566634
2007-04-30,FRANCE,EUR,0.0468605015,0.0453425393
2007-05-31,FRANCE,EUR,0.0432192392,0.0288625455
2007-06-29,FRANCE,EUR,0.0051760917,-0.001552313
