date,australia_ret_with_div_aud,australia_ret_without_div_aud,france_ret_with_div_eur,france_ret_without_div_eur,germany_ret_with_div_eur,germany_ret_without_div_eur,japan_ret_with_div_jpy,japan_ret_without_div_jpy,switzerland_ret_with_div_chf,switzerland_ret_without_div_chf,united kingdom_ret_with_div_gbp,united kingdom_ret_without_div_gbp,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd
2002-01-01,0.0273578567,0.0273132504,-0.027104847,-0.027305674,0.0122772449,0.0114909316,-0.056655149,-0.056709631,-0.022126283,-0.02214605,-0.010866098,-0.011719917,-0.015966,-0.016921,0.0014
2002-02-01,-0.001831939,-0.004357869,-0.004393968,-0.004447492,-0.008807217,-0.008816007,0.0422556653,0.0419976718,0.0116607107,0.0116456861,-0.003340657,-0.007071725,-0.0217,-0.023066,0.0013
2002-03-01,0.0051988097,-0.001914156,0.052081015,0.0519427042,0.049328125,0.0484695259,0.0531190903,0.0482940937,0.0487594286,0.04556978,0.0389300664,0.0336609706,0.044698,0.04373,0.0013
2002-04-01,-0.014301977,-0.015424472,-0.043987714,-0.045754629,-0.045030509,-0.047092776,0.0205859787,0.0205737687,-0.004108601,-0.007961228,-0.013361883,-0.015411031,-0.0496,-0.050504,0.0015
2002-05-01,-0.000203786,-0.001751575,-0.028016134,-0.035486643,-0.025702757,-0.033068468,0.0359872785,0.0359202084,0.0029628768,-0.00063874,-0.011482463,-0.013937203,-0.01051,-0.011958,0.0014
2002-06-01,-0.026756329,-0.031932876,-0.080806147,-0.086672698,-0.068682064,-0.072463039,-0.083764442,-0.083960509,-0.081686973,-0.082069724,-0.082524965,-0.084101907,-0.070259,-0.071515,0.0013
2002-07-01,-0.037815643,-0.041947913,-0.104068971,-0.105257961,-0.108893505,-0.11295154,-0.057720121,-0.057960433,-0.132371446,-0.135335335,-0.089529931,-0.091391942,-0.081125,-0.08231,0.0015
2002-08-01,0.0162078658,0.012460989,-0.004620805,-0.004629202,-0.002896128,-0.003387543,-0.024410954,-0.024591272,0.0050825332,0.0010024834,0.0028739715,-0.002916281,0.007949,0.006405,0.0014
2002-09-01,-0.039544644,-0.04692225,-0.148606031,-0.148650901,-0.204906035,-0.205151895,-0.021200267,-0.024736561,-0.089463422,-0.089811171,-0.11441817,-0.116380412,-0.099923,-0.101387,0.0014
2002-10-01,0.0121258458,0.0093939529,0.1104646988,0.1102100773,0.1037245989,0.1037245989,-0.061185863,-0.061198213,0.0303849245,0.0303685852,0.0745089329,0.0729015466,0.07494,0.073522,0.0014
2002-11-01,-0.005521155,-0.010748586,0.0461912297,0.0461705176,0.027662049,0.027600712,0.0339108776,0.0338316906,0.0379362198,0.0379362198,0.0320427904,0.0294417025,0.061282,0.059612,0.0012
2002-12-01,-0.00994039,-0.01869581,-0.064535063,-0.064980283,-0.096067013,-0.096118004,-0.053215037,-0.053596525,-0.085846747,-0.08589302,-0.050985438,-0.052256132,-0.053334,-0.054977,0.0011
2003-01-01,-0.013979433,-0.014101981,-0.040872025,-0.04094801,-0.033368394,-0.034838,-0.025796152,-0.025866206,-0.050124041,-0.050124041,-0.088495499,-0.08925244,-0.023367,-0.024576,0.001
2003-02-01,-0.053112101,-0.056321638,-0.052369477,-0.052398274,-0.05303908,-0.053516935,-0.002948054,-0.003279315,-0.052777599,-0.052910212,0.0274328209,0.0222961167,-0.015417,-0.017243,0.0009
2003-03-01,0.0399954007,0.0194899874,-0.043774994,-0.044007004,-0.037058109,-0.037288953,-0.030836902,-0.037004567,-0.008524093,-0.013418893,-0.004480672,-0.01172649,0.010321,0.008901,0.001
2003-04-01,0.045870042,0.0448148024,0.1133562379,0.1092670526,0.1680373644,0.1602448919,0.0151953821,0.015174446,0.1207559097,0.1097605174,0.0909543065,0.087255493,0.082768,0.08118,0.001
2003-05-01,0.0050793478,0.0025919443,0.0324044179,0.0211007183,0.0227743582,0.013427391,0.0495495339,0.0494444061,0.0088827503,0.0050413537,0.0430000304,0.0399601099,0.063471,0.061778,0.0009
2003-06-01,0.0183981572,0.0120014663,0.0340942274,0.02771287,0.067287617,0.0608761067,0.0775360481,0.0772253279,0.0357911908,0.0354854981,0.0033232506,0.0014360056,0.016346,0.014797,0.001
2003-07-01,0.0355094094,0.0351104391,0.0365150686,0.0360353175,0.0612692652,0.060615358,0.0407771984,0.0407373924,0.048223765,0.0477964827,0.0360817548,0.0335835495,0.023112,0.021764,0.0007
2003-08-01,0.0283455013,0.0249028713,0.0340662547,0.0340563448,0.0102391246,0.0097280027,0.0644342286,0.0641653193,0.0211396601,0.0201782894,0.0132032281,0.0066484554,0.024965,0.023486,0.0007
2003-09-01,0.0076289675,-0.000917019,-0.039798104,-0.039914859,-0.045060472,-0.045329555,0.0253828768,0.02172405,-0.015186229,-0.015569995,-0.013192767,-0.015236919,-0.00912,-0.010607,0.0008
2003-10-01,0.0350265379,0.0335724338,0.0668841352,0.0667555212,0.0968750059,0.0943712127,0.0262245478,0.0262078493,0.041996627,0.0419813535,0.0467469546,0.0454914631,0.060361,0.058882,0.0007
2003-11-01,-0.015589866,-0.021342355,0.0133752337,0.0133562068,0.016226445,0.01617917,-0.039106878,-0.039173084,0.0178165,0.0177891917,0.0142428413,0.0113950387,0.016594,0.015052,0.0007
2003-12-01,0.0359467907,0.029968726,0.0329625228,0.0327539322,0.0344701634,0.0344157921,0.0425679548,0.042103882,0.0264364544,0.0263858786,0.0288852368,0.0274900466,0.045476,0.04382,0.0008
2004-01-01,-0.006855623,-0.006895505,0.0288847298,0.0288081671,0.0369963771,0.0353526429,0.0055082283,0.0054737256,0.0489080901,0.0489080901,-0.010548312,-0.011148987,0.023042,0.022019,0.0007
2004-02-01,0.0294588702,0.025792538,0.0266833972,0.0266597794,-0.002518526,-0.002538369,0.031950684,0.031655123,0.0155280607,0.0118732119,0.0280126458,0.025020792,0.015443,0.013958,0.0006
2004-03-01,0.0227720561,0.0144008607,-0.019027194,-0.019190643,-0.030725772,-0.030879065,0.0976767846,0.0899798516,-0.024403456,-0.024608723,-0.012658768,-0.020419721,-0.010662,-0.011985,0.0009
2004-04-01,-0.008667442,-0.010069729,0.0091955041,0.008063883,0.0281226188,0.021110904,0.027924454,0.0279086623,0.0302479372,0.0200252916,0.0244207148,0.0223415119,-0.024222,-0.025568,0.0008
2004-05-01,0.0115246291,0.0096515637,0.0101372719,-0.002652311,-0.013067004,-0.019170902,-0.039642233,-0.039711009,-0.021971343,-0.023964913,-0.013041836,-0.015948332,0.014068,0.012384,0.0006
2004-06-01,0.0317236488,0.0261635664,0.0259454959,0.0193375798,0.0285929759,0.0257188017,0.0468089785,0.0464999386,0.0070524104,0.0064241629,0.0135881534,0.0111321016,0.021611,0.020049,0.0008
2004-07-01,0.0084137245,0.0080965629,-0.018663707,-0.018942011,-0.030490724,-0.031201967,-0.044914086,-0.044950454,-0.019916952,-0.021678412,-0.014752626,-0.01650997,-0.037698,-0.038792,0.001
2004-08-01,0.0205787036,0.0140422868,-0.008705546,-0.008716104,-0.025676547,-0.026059985,-0.00902233,-0.009221693,-0.016792859,-0.01710073,0.0157143008,0.0089969882,0.002703,0.001058,0.0011
2004-09-01,0.0362566414,0.0318170434,0.0140860461,0.0140081208,0.0239260995,0.0231427395,-0.023305876,-0.027063586,0.0074893067,0.0070604859,0.0257449854,0.0239797877,0.020556,0.019099,0.0011
2004-10-01,0.0373105076,0.0361806733,0.0170118795,0.0167739552,0.0128427934,0.0128427934,-0.015925926,-0.015954113,-0.012578415,-0.01259728,0.0139154327,0.0124537349,0.017806,0.016579,0.0011
2004-11-01,0.0462409294,0.0405898111,0.0155545218,0.0139157898,0.0407678193,0.0407628645,0.012877542,0.0127991806,0.0194465937,0.0194465937,0.0219189692,0.0182838629,0.048214,0.04432,0.0015
2004-12-01,0.0263772667,0.0261909312,0.0228371061,0.0213340956,0.027285709,0.0271484947,0.047838832,0.047374076,0.0389182564,0.0389182564,0.028848371,0.0267730491,0.03517,0.033414,0.0016
2005-01-01,0.0196693677,0.0195023437,0.0307185371,0.0279789953,0.0092856699,0.0061887546,-0.001237731,-0.001275401,0.0240910112,0.0240910112,0.0120977726,0.0114203097,-0.026546,-0.027399,0.0016
2005-02-01,0.0229697128,0.0170804399,0.0342223713,0.0341717065,0.0253543236,0.0253102912,0.0256010205,0.0252988238,0.0349908403,0.0349054293,0.0245354768,0.0206384831,0.022646,0.02081,0.0016
2005-03-01,-0.008929421,-0.016747863,0.0082029426,0.0076109321,-0.00306811,-0.00323137,0.0108469689,0.0044108653,-0.003293761,-0.007480121,-0.00818862,-0.014784254,-0.016944,-0.018578,0.0021
2005-04-01,-0.032774395,-0.033722353,-0.027646433,-0.029647046,-0.030228889,-0.040589583,-0.041785158,-0.04180676,-0.013589901,-0.023518931,-0.019631692,-0.021686055,-0.025206,-0.02659,0.0021
2005-05-01,0.0270945598,0.0251491379,0.061642737,0.0488031861,0.0565773316,0.0485004839,0.0116715337,0.0115992402,0.0383905143,0.0337859156,0.03715535,0.0335745673,0.037954,0.036151,0.0024
2005-06-01,0.0453073861,0.0398722427,0.0321266442,0.0272159751,0.0297372791,0.0277490712,0.030202349,0.0298456533,0.0215269862,0.0209315126,0.0318828919,0.028852347,0.011529,0.009905,0.0023
2005-07-01,0.0046858575,0.004042325,0.050931388,0.0501075269,0.0625058995,0.0618572065,0.0163542768,0.0163164166,0.0539923663,0.0526201459,0.0339151273,0.0328892048,0.043357,0.042251,0.0024
2005-08-01,0.0182033571,0.0126573083,-0.01550732,-0.015515764,-0.008364462,-0.00852627,0.0530144537,0.0528554499,-0.009147632,-0.009615645,0.0085081564,0.0021483027,-0.005958,-0.007776,0.003
2005-09-01,0.0500135884,0.0418436168,0.0421948585,0.0421553255,0.0353340584,0.0352175477,0.1224710435,0.1178814304,0.0609091286,0.0598218164,0.0311813807,0.029553007,0.0106,0.009331,0.0029
2005-10-01,-0.035356634,-0.036343825,-0.038249989,-0.038478469,-0.024229984,-0.024276323,0.024154291,0.0241181132,0.0047460508,0.0047460508,-0.023850141,-0.024585282,-0.020866,-0.021974,0.0027
2005-11-01,0.0379539665,0.0308539007,0.0312637137,0.0289707457,0.0409472265,0.0408900211,0.0628954455,0.0628381324,0.0494688631,0.0494688631,0.0299169539,0.0258665997,0.040326,0.038073,0.0031
2005-12-01,0.027714756,0.0250891766,0.0326556663,0.0322934489,0.0372955345,0.0371104564,0.0786322674,0.0781934284,0.0289943693,0.0289943693,0.0414797882,0.0397632937,0.003458,0.001884,0.0032
2006-01-01,0.0360755914,0.0360233428,0.0460088566,0.0458884319,0.05586619,0.0542064164,0.0326758962,0.0326420356,0.0343975054,0.0343807283,0.0205696522,0.0200504992,0.040072,0.038966,0.0035
2006-02-01,0.0093612275,0.0012262866,0.0135612634,0.0135318875,0.032561864,0.032504724,-0.033121757,-0.033309455,0.0216993018,0.0216348385,0.0214734946,0.0177179422,-0.001639,-0.003552,0.0034
