rf,dateff
0.00140,2002-01-31
0.00130,2002-02-28
0.00130,2002-03-28
0.00150,2002-04-30
0.00140,2002-05-31
0.00130,2002-06-28
0.00150,2002-07-31
0.00140,2002-08-30
0.00140,2002-09-30
0.00140,2002-10-31
0.00120,2002-11-29
0.00110,2002-12-31
0.00100,2003-01-31
0.00090,2003-02-28
0.00100,2003-03-31
0.00100,2003-04-30
0.00090,2003-05-30
0.00100,2003-06-30
0.00070,2003-07-31
0.00070,2003-08-29
0.00080,2003-09-30
0.00070,2003-10-31
0.00070,2003-11-28
0.00080,2003-12-31
0.00070,2004-01-30
0.00060,2004-02-27
0.00090,2004-03-31
0.00080,2004-04-30
0.00060,2004-05-28
0.00080,2004-06-30
0.00100,2004-07-30
0.00110,2004-08-31
0.00110,2004-09-30
0.00110,2004-10-29
0.00150,2004-11-30
0.00160,2004-12-31
0.00160,2005-01-31
0.00160,2005-02-28
0.00210,2005-03-31
0.00210,2005-04-29
0.00240,2005-05-31
0.00230,2005-06-30
0.00240,2005-07-29
0.00300,2005-08-31
0.00290,2005-09-30
0.00270,2005-10-31
0.00310,2005-11-30
0.00320,2005-12-30
0.00350,2006-01-31
0.00340,2006-02-28
0.00370,2006-03-31
0.00360,2006-04-28
0.00430,2006-05-31
0.00400,2006-06-30
0.00400,2006-07-31
0.00420,2006-08-31
0.00410,2006-09-29
0.00410,2006-10-31
0.00420,2006-11-30
0.00400,2006-12-29
0.00440,2007-01-31
0.00380,2007-02-28
0.00430,2007-03-30
0.00440,2007-04-30
0.00410,2007-05-31
0.00400,2007-06-29
0.00400,2007-07-31
0.00420,2007-08-31
0.00320,2007-09-28
0.00320,2007-10-31
0.00340,2007-11-30
0.00270,2007-12-31
0.00210,2008-01-31
0.00130,2008-02-29
0.00170,2008-03-31
0.00180,2008-04-30
0.00180,2008-05-30
0.00170,2008-06-30
0.00150,2008-07-31
0.00130,2008-08-29
0.00150,2008-09-30
0.00080,2008-10-31
0.00030,2008-11-28
0.00000,2008-12-31
0.00000,2009-01-30
0.00010,2009-02-27
0.00020,2009-03-31
0.00010,2009-04-30
0.00000,2009-05-29
0.00010,2009-06-30
0.00010,2009-07-31
0.00010,2009-08-31
0.00010,2009-09-30
0.00000,2009-10-30
0.00000,2009-11-30
0.00010,2009-12-31
0.00000,2010-01-29
0.00000,2010-02-26
0.00010,2010-03-31
0.00010,2010-04-30
0.00010,2010-05-28
0.00010,2010-06-30
0.00010,2010-07-30
0.00010,2010-08-31
0.00010,2010-09-30
0.00010,2010-10-29
0.00010,2010-11-30
0.00010,2010-12-31
0.00010,2011-01-31
0.00010,2011-02-28
0.00010,2011-03-31
0.00000,2011-04-29
0.00000,2011-05-31
0.00000,2011-06-30
0.00000,2011-07-29
0.00010,2011-08-31
0.00000,2011-09-30
0.00000,2011-10-31
0.00000,2011-11-30
0.00000,2011-12-30
0.00000,2012-01-31
0.00000,2012-02-29
0.00000,2012-03-30
0.00000,2012-04-30
0.00010,2012-05-31
0.00000,2012-06-29
0.00000,2012-07-31
0.00010,2012-08-31
0.00010,2012-09-28
0.00010,2012-10-31
0.00010,2012-11-30
0.00010,2012-12-31
0.00000,2013-01-31
0.00000,2013-02-28
0.00000,2013-03-28
0.00000,2013-04-30
0.00000,2013-05-31
0.00000,2013-06-28
0.00000,2013-07-31
0.00000,2013-08-30
0.00000,2013-09-30
0.00000,2013-10-31
0.00000,2013-11-29
0.00000,2013-12-31
0.00000,2014-01-31
0.00000,2014-02-28
0.00000,2014-03-31
0.00000,2014-04-30
0.00000,2014-05-30
0.00000,2014-06-30
0.00000,2014-07-31
0.00000,2014-08-29
0.00000,2014-09-30
0.00000,2014-10-31
0.00000,2014-11-28
0.00000,2014-12-31
0.00000,2015-01-30
0.00000,2015-02-27
0.00000,2015-03-31
0.00000,2015-04-30
0.00000,2015-05-29
0.00000,2015-06-30
0.00000,2015-07-31
0.00000,2015-08-31
0.00000,2015-09-30
0.00000,2015-10-30
0.00000,2015-11-30
0.00010,2015-12-31
0.00010,2016-01-29
0.00020,2016-02-29
0.00020,2016-03-31
0.00010,2016-04-29
0.00010,2016-05-31
0.00020,2016-06-30
0.00020,2016-07-29
0.00020,2016-08-31
0.00020,2016-09-30
0.00020,2016-10-31
0.00010,2016-11-30
0.00030,2016-12-30
0.00040,2017-01-31
0.00040,2017-02-28
0.00030,2017-03-31
0.00050,2017-04-28
0.00060,2017-05-31
0.00060,2017-06-30
0.00070,2017-07-31
0.00090,2017-08-31
0.00090,2017-09-29
0.00090,2017-10-31
0.00080,2017-11-30
0.00090,2017-12-29
0.00120,2018-01-31
0.00110,2018-02-28
0.00110,2018-03-29
0.00140,2018-04-30
0.00140,2018-05-31
0.00140,2018-06-29
0.00160,2018-07-31
0.00160,2018-08-31
0.00150,2018-09-28
0.00190,2018-10-31
0.00180,2018-11-30
0.00200,2018-12-31
0.00210,2019-01-31
0.00180,2019-02-28
0.00190,2019-03-29
0.00210,2019-04-30
0.00210,2019-05-31
0.00180,2019-06-28
0.00190,2019-07-31
0.00160,2019-08-30
0.00180,2019-09-30
0.00160,2019-10-31
0.00120,2019-11-29
0.00140,2019-12-31
0.00130,2020-01-31
0.00120,2020-02-28
0.00130,2020-03-31
0.00000,2020-04-30
0.00010,2020-05-29
0.00010,2020-06-30
0.00010,2020-07-31
0.00010,2020-08-31
0.00010,2020-09-30
0.00010,2020-10-30
0.00010,2020-11-30
0.00010,2020-12-31
0.00010,2021-01-29
0.00000,2021-02-26
0.00000,2021-03-31
0.00000,2021-04-30
0.00000,2021-05-28
0.00000,2021-06-30
0.00000,2021-07-30
0.00000,2021-08-31
0.00000,2021-09-30
0.00000,2021-10-29
0.00000,2021-11-30
0.00010,2021-12-31
0.00000,2022-01-31
0.00000,2022-02-28
0.00010,2022-03-31
0.00010,2022-04-29
0.00030,2022-05-31
0.00060,2022-06-30
0.00080,2022-07-29
0.00190,2022-08-31
0.00190,2022-09-30
0.00230,2022-10-31
0.00290,2022-11-30
0.00330,2022-12-30
