date,country,currency,mportret,mportretx
2002-01-31,UNITED KINGDOM,GBP,-0.010866098,-0.011719917
2002-02-28,UNITED KINGDOM,GBP,-0.003340657,-0.007071725
2002-03-28,UNITED KINGDOM,GBP,0.0389300664,0.0336609706
2002-04-30,UNITED KINGDOM,GBP,-0.013361883,-0.015411031
2002-05-31,UNITED KINGDOM,GBP,-0.011482463,-0.013937203
2002-06-28,UNITED KINGDOM,GBP,-0.082524965,-0.084101907
2002-07-31,UNITED KINGDOM,GBP,-0.089529931,-0.091391942
2002-08-30,UNITED KINGDOM,GBP,0.0028739715,-0.002916281
2002-09-30,UNITED KINGDOM,GBP,-0.11441817,-0.116380412
2002-10-31,UNITED KINGDOM,GBP,0.0745089329,0.0729015466
2002-11-29,UNITED KINGDOM,GBP,0.0320427904,0.0294417025
2002-12-31,UNITED KINGDOM,GBP,-0.050985438,-0.052256132
2003-01-31,UNITED KINGDOM,GBP,-0.088495499,-0.08925244
2003-02-28,UNITED KINGDOM,GBP,0.0274328209,0.0222961167
2003-03-31,UNITED KINGDOM,GBP,-0.004480672,-0.01172649
2003-04-30,UNITED KINGDOM,GBP,0.0909543065,0.087255493
2003-05-30,UNITED KINGDOM,GBP,0.0430000304,0.0399601099
2003-06-30,UNITED KINGDOM,GBP,0.0033232506,0.0014360056
2003-07-31,UNITED KINGDOM,GBP,0.0360817548,0.0335835495
2003-08-29,UNITED KINGDOM,GBP,0.0132032281,0.0066484554
2003-09-30,UNITED KINGDOM,GBP,-0.013192767,-0.015236919
2003-10-31,UNITED KINGDOM,GBP,0.0467469546,0.0454914631
2003-11-28,UNITED KINGDOM,GBP,0.0142428413,0.0113950387
2003-12-31,UNITED KINGDOM,GBP,0.0288852368,0.0274900466
2004-01-30,UNITED KINGDOM,GBP,-0.010548312,-0.011148987
2004-02-27,UNITED KINGDOM,GBP,0.0280126458,0.025020792
2004-03-31,UNITED KINGDOM,GBP,-0.012658768,-0.020419721
2004-04-30,UNITED KINGDOM,GBP,0.0244207148,0.0223415119
2004-05-28,UNITED KINGDOM,GBP,-0.013041836,-0.015948332
2004-06-30,UNITED KINGDOM,GBP,0.0135881534,0.0111321016
2004-07-30,UNITED KINGDOM,GBP,-0.014752626,-0.01650997
2004-08-31,UNITED KINGDOM,GBP,0.0157143008,0.0089969882
2004-09-30,UNITED KINGDOM,GBP,0.0257449854,0.0239797877
2004-10-29,UNITED KINGDOM,GBP,0.0139154327,0.0124537349
2004-11-30,UNITED KINGDOM,GBP,0.0219189692,0.0182838629
2004-12-31,UNITED KINGDOM,GBP,0.028848371,0.0267730491
2005-01-31,UNITED KINGDOM,GBP,0.0120977726,0.0114203097
2005-02-28,UNITED KINGDOM,GBP,0.0245354768,0.0206384831
2005-03-31,UNITED KINGDOM,GBP,-0.00818862,-0.014784254
2005-04-29,UNITED KINGDOM,GBP,-0.019631692,-0.021686055
2005-05-31,UNITED KINGDOM,GBP,0.03715535,0.0335745673
2005-06-30,UNITED KINGDOM,GBP,0.0318828919,0.028852347
2005-07-29,UNITED KINGDOM,GBP,0.0339151273,0.0328892048
2005-08-31,UNITED KINGDOM,GBP,0.0085081564,0.0021483027
2005-09-30,UNITED KINGDOM,GBP,0.0311813807,0.029553007
2005-10-31,UNITED KINGDOM,GBP,-0.023850141,-0.024585282
2005-11-30,UNITED KINGDOM,GBP,0.0299169539,0.0258665997
2005-12-30,UNITED KINGDOM,GBP,0.0414797882,0.0397632937
2006-01-31,UNITED KINGDOM,GBP,0.0205696522,0.0200504992
2006-02-28,UNITED KINGDOM,GBP,0.0214734946,0.0177179422
2006-03-31,UNITED KINGDOM,GBP,0.0352390985,0.0271935227
2006-04-28,UNITED KINGDOM,GBP,0.0080486778,0.0037352113
2006-05-31,UNITED KINGDOM,GBP,-0.046658537,-0.049965894
2006-06-30,UNITED KINGDOM,GBP,0.0200283405,0.016532627
2006-07-31,UNITED KINGDOM,GBP,0.0133473378,0.0064637012
2006-08-31,UNITED KINGDOM,GBP,0.00745599,0.0008011733
2006-09-29,UNITED KINGDOM,GBP,0.0177147347,0.0157138258
2006-10-31,UNITED KINGDOM,GBP,0.0286334088,0.0265937694
2006-11-30,UNITED KINGDOM,GBP,-0.002037743,-0.006183729
2006-12-29,UNITED KINGDOM,GBP,0.0339788635,0.0331686354
2007-01-31,UNITED KINGDOM,GBP,-0.001682236,-0.002499405
2007-02-28,UNITED KINGDOM,GBP,-0.001677815,-0.004090062
2007-03-30,UNITED KINGDOM,GBP,0.0322309499,0.0241544519
2007-04-30,UNITED KINGDOM,GBP,0.023362966,0.0208051785
2007-05-31,UNITED KINGDOM,GBP,0.0256897044,0.0218908377
2007-06-29,UNITED KINGDOM,GBP,-0.011527617,-0.014857856
