date,USD_per_CHF,USD_per_JPY,USD_per_AUD,USD_per_EUR,USD_per_GBP
2002-04-01,0.6045,0.0076,0.5352,0.886,1.4429
2002-05-01,0.6294,0.0079,0.5498,0.917,1.4598
2002-06-01,0.6494,0.0081,0.5682,0.9561,1.4837
2002-07-01,0.6794,0.0085,0.5538,0.9935,1.5565
2002-08-01,0.6679,0.0084,0.5413,0.9781,1.5368
2002-09-01,0.6697,0.0083,0.5465,0.9806,1.5563
2002-10-01,0.6697,0.0081,0.5502,0.9812,1.5575
2002-11-01,0.6822,0.0082,0.5613,1.0013,1.5711
2002-12-01,0.695,0.0082,0.5624,1.0194,1.5863
2003-01-01,0.7265,0.0084,0.5829,1.0622,1.6175
2003-02-01,0.7352,0.0084,0.5956,1.0785,1.6079
2003-03-01,0.7345,0.0084,0.6015,1.0797,1.5825
2003-04-01,0.7255,0.0083,0.61,1.0862,1.5739
2003-05-01,0.7627,0.0085,0.6468,1.1556,1.6224
2003-06-01,0.7578,0.0085,0.6652,1.1674,1.6609
2003-07-01,0.7347,0.0084,0.6607,1.1365,1.6221
2003-08-01,0.7241,0.0084,0.6518,1.1155,1.5939
2003-09-01,0.7276,0.0087,0.6635,1.1267,1.6155
2003-10-01,0.7563,0.0091,0.6948,1.1714,1.6792
2003-11-01,0.7509,0.0092,0.7158,1.171,1.6897
2003-12-01,0.791,0.0093,0.7391,1.2298,1.7516
2004-01-01,0.807,0.0094,0.7717,1.2638,1.8255
2004-02-01,0.8033,0.0094,0.777,1.264,1.8673
2004-03-01,0.7826,0.0092,0.7496,1.2261,1.8261
2004-04-01,0.7711,0.0093,0.7443,1.1989,1.8031
2004-05-01,0.7789,0.0089,0.7039,1.2,1.786
2004-06-01,0.7998,0.0091,0.6937,1.2146,1.8279
2004-07-01,0.8031,0.0091,0.7161,1.2266,1.8438
2004-08-01,0.7922,0.0091,0.7111,1.2191,1.8203
2004-09-01,0.7918,0.0091,0.7028,1.2224,1.7937
2004-10-01,0.811,0.0092,0.7337,1.2507,1.8077
2004-11-01,0.8539,0.0096,0.7704,1.2997,1.8607
2004-12-01,0.8722,0.0096,0.7675,1.3406,1.9286
2005-01-01,0.848,0.0097,0.7668,1.3123,1.8797
2005-02-01,0.8391,0.0095,0.7812,1.3013,1.8871
2005-03-01,0.8506,0.0095,0.7848,1.3185,1.9043
2005-04-01,0.8365,0.0093,0.7738,1.2943,1.8961
2005-05-01,0.8216,0.0094,0.7663,1.2697,1.8559
2005-06-01,0.7896,0.0092,0.7667,1.2155,1.8177
2005-07-01,0.7725,0.0089,0.7524,1.2041,1.7507
2005-08-01,0.7918,0.009,0.7614,1.2295,1.7944
2005-09-01,0.7892,0.009,0.7651,1.2234,1.8064
2005-10-01,0.7764,0.0087,0.7535,1.2022,1.7651
2005-11-01,0.7628,0.0084,0.7353,1.1789,1.7349
2005-12-01,0.7661,0.0084,0.7423,1.1861,1.7458
2006-01-01,0.7829,0.0087,0.7505,1.2126,1.7686
2006-02-01,0.7662,0.0085,0.7418,1.194,1.748
2006-03-01,0.7663,0.0085,0.7266,1.2028,1.7442
2006-04-01,0.7794,0.0085,0.7369,1.2273,1.768
2006-05-01,0.8203,0.009,0.7639,1.2767,1.8687
2006-06-01,0.8116,0.0087,0.7399,1.2661,1.8435
2006-07-01,0.808,0.0086,0.7528,1.2681,1.8443
2006-08-01,0.8118,0.0086,0.7631,1.281,1.8941
2006-09-01,0.8029,0.0085,0.7549,1.2722,1.8839
2006-10-01,0.7935,0.0084,0.7544,1.2617,1.8765
2006-11-01,0.8093,0.0085,0.7728,1.2888,1.9125
2006-12-01,0.8265,0.0085,0.7858,1.3205,1.9629
2007-01-01,0.8044,0.0083,0.7826,1.2993,1.9587
2007-02-01,0.8069,0.0083,0.783,1.308,1.9589
2007-03-01,0.8212,0.0085,0.7932,1.3246,1.9474
2007-04-01,0.8248,0.0084,0.8273,1.3513,1.9879
2007-05-01,0.8189,0.0083,0.8254,1.3518,1.9842
2007-06-01,0.811,0.0082,0.8423,1.3421,1.9867
2007-07-01,0.8286,0.0082,0.8677,1.3726,2.0355
2007-08-01,0.8315,0.0086,0.8291,1.3626,2.011
2007-09-01,0.8437,0.0087,0.8461,1.391,2.0184
2007-10-01,0.8517,0.0086,0.8996,1.4233,2.0449
2007-11-01,0.8902,0.009,0.8961,1.4683,2.0701
2007-12-01,0.877,0.0089,0.8719,1.4559,2.0161
2008-01-01,0.9086,0.0093,0.8823,1.4728,1.9702
2008-02-01,0.9183,0.0093,0.9133,1.4759,1.9646
2008-03-01,0.9876,0.0099,0.9221,1.552,2.0015
2008-04-01,0.9864,0.0097,0.9309,1.5754,1.9816
2008-05-01,0.9571,0.0096,0.9492,1.5554,1.965
2008-06-01,0.9642,0.0094,0.9511,1.5562,1.9664
2008-07-01,0.9725,0.0094,0.962,1.5759,1.9888
2008-08-01,0.9224,0.0091,0.8815,1.4955,1.8865
2008-09-01,0.9007,0.0094,0.8168,1.4342,1.7973
2008-10-01,0.875,0.01,0.687,1.3266,1.6862
2008-11-01,0.8396,0.0103,0.6591,1.2744,1.5327
2008-12-01,0.8769,0.011,0.6719,1.3511,1.4854
2009-01-01,0.8875,0.0111,0.6754,1.3244,1.4462
2009-02-01,0.8592,0.0108,0.6504,1.2797,1.4422
2009-03-01,0.8654,0.0102,0.6666,1.305,1.417
2009-04-01,0.871,0.0101,0.7158,1.3199,1.4712
2009-05-01,0.9029,0.0103,0.7648,1.3646,1.5418
2009-06-01,0.9252,0.0104,0.8025,1.4014,1.6369
2009-07-01,0.9276,0.0106,0.8049,1.4092,1.6378
2009-08-01,0.9361,0.0105,0.8353,1.4266,1.6532
2009-09-01,0.9624,0.011,0.8622,1.4575,1.6323
2009-10-01,0.9791,0.0111,0.9067,1.4821,1.6212
2009-11-01,0.9871,0.0112,0.9197,1.4908,1.6599
2009-12-01,0.9708,0.0111,0.9021,1.4579,1.6226
2010-01-01,0.9667,0.011,0.9127,1.4266,1.6158
2010-02-01,0.9327,0.0111,0.8857,1.368,1.5618
2010-03-01,0.9376,0.011,0.9123,1.357,1.5058
2010-04-01,0.9355,0.0107,0.9262,1.3417,1.5332
2010-05-01,0.8853,0.0109,0.8713,1.2563,1.4669
2010-06-01,0.8885,0.011,0.8539,1.2223,1.4768
2010-07-01,0.9497,0.0114,0.8786,1.2811,1.5304
2010-08-01,0.9626,0.0117,0.9004,1.2903,1.5661
2010-09-01,0.9998,0.0119,0.9398,1.3103,1.5591
2010-10-01,1.0324,0.0122,0.9818,1.3901,1.5867
2010-11-01,1.0155,0.0121,0.9889,1.3654,1.5961
2010-12-01,1.0321,0.012,0.9929,1.3221,1.5595
2011-01-01,1.0455,0.0121,0.9962,1.3371,1.5782
2011-02-01,1.0526,0.0121,1.0084,1.3656,1.6124
2011-03-01,1.0887,0.0122,1.0113,1.402,1.6159
2011-04-01,1.1146,0.012,1.0588,1.446,1.6379
2011-05-01,1.1442,0.0123,1.0675,1.4335,1.6332
2011-06-01,1.1903,0.0124,1.0617,1.4403,1.6219
2011-07-01,1.2174,0.0126,1.0781,1.4275,1.6158
2011-08-01,1.2821,0.013,1.0502,1.4333,1.6356
2011-09-01,1.1406,0.013,1.022,1.3747,1.5771
2011-10-01,1.1163,0.013,1.0168,1.3732,1.5768
2011-11-01,1.1014,0.0129,1.0112,1.3558,1.5806
2011-12-01,1.0714,0.0129,1.0122,1.3155,1.5587
2012-01-01,1.0666,0.013,1.0415,1.291,1.5524
2012-02-01,1.0967,0.0127,1.0732,1.3238,1.5804
2012-03-01,1.0952,0.0121,1.0526,1.3208,1.5824
2012-04-01,1.0949,0.0123,1.035,1.316,1.6
2012-05-01,1.0658,0.0126,0.998,1.2806,1.5924
2012-06-01,1.0443,0.0126,0.9986,1.2541,1.5556
2012-07-01,1.0222,0.0127,1.03,1.2278,1.5593
2012-08-01,1.033,0.0127,1.0475,1.2406,1.5722
2012-09-01,1.0654,0.0128,1.0406,1.2885,1.6126
2012-10-01,1.0726,0.0127,1.0298,1.2974,1.608
2012-11-01,1.0652,0.0123,1.0405,1.2837,1.5968
2012-12-01,1.0854,0.0119,1.0465,1.3119,1.6145
2013-01-01,1.083,0.0112,1.05,1.3304,1.5965
2013-02-01,1.0855,0.0108,1.031,1.3347,1.5474
2013-03-01,1.0564,0.0106,1.0345,1.2953,1.508
2013-04-01,1.0677,0.0102,1.038,1.3025,1.5311
2013-05-01,1.0464,0.0099,0.9919,1.2983,1.5297
2013-06-01,1.0717,0.0103,0.944,1.3197,1.5493
2013-07-01,1.0583,0.01,0.9155,1.3088,1.5179
2013-08-01,1.0798,0.0102,0.9037,1.3314,1.5505
2013-09-01,1.0833,0.0101,0.9303,1.3364,1.5885
2013-10-01,1.108,0.0102,0.9519,1.3646,1.6098
2013-11-01,1.0954,0.01,0.9324,1.3491,1.61
2013-12-01,1.1194,0.0097,0.898,1.3708,1.6383
2014-01-01,1.1064,0.0096,0.8858,1.3618,1.647
2014-02-01,1.1189,0.0098,0.8974,1.3665,1.6558
2014-03-01,1.1357,0.0098,0.9089,1.3828,1.6624
2014-04-01,1.1328,0.0098,0.9315,1.381,1.6748
2014-05-01,1.1257,0.0098,0.9305,1.3739,1.6842
2014-06-01,1.1163,0.0098,0.9365,1.3595,1.6908
2014-07-01,1.1138,0.0098,0.9389,1.3533,1.7066
2014-08-01,1.0991,0.0097,0.9309,1.3315,1.67
2014-09-01,1.0672,0.0093,0.9042,1.2889,1.629
