date,australia_hedged_return_usd,france_hedged_return_usd,germany_hedged_return_usd,japan_hedged_return_usd,switzerland_hedged_return_usd,united kingdom_hedged_return_usd
2002-01-01,-4.188511002100773,-3.3030705780194354,-3.2636884861194355,-0.15525514900000004,-1.584427580720489,-4.022760106518364
2002-02-01,-4.443074840716068,-3.3897183621656133,-3.3941316111656135,-0.07111100136666684,-1.5885535424478026,-4.055786098765657
2002-03-01,-4.55322721769726,-3.384502626341547,-3.387255516341547,-0.04558090970000001,-1.5854955469148169,-4.162068313782714
2002-04-01,-4.755294503158444,-3.6035844032400286,-3.6046271982400286,-0.12133507393157905,-1.5646118797900277,-4.245642991877954
2002-05-01,-5.034249402587851,-3.684226905289774,-3.681913528289774,-0.06995449365189871,-1.2278788433461707,-4.248159384496095
2002-06-01,-4.941623171661035,-3.7181255382770635,-3.7060014552770633,-0.22629160249382718,-1.3292847210289498,-4.512850812543303
2002-07-01,-4.881339117178404,-3.4442106418605936,-3.449035175860594,-0.13339659158823491,-1.1000277462201427,-4.084520693608416
2002-08-01,-4.9996468912663214,-3.3662532705407973,-3.3645285935407974,-0.08027285876190489,-0.6663557199673549,-4.045538757547371
2002-09-01,-4.998225156351327,-3.459986136474785,-3.516286140474785,-0.07377617061445774,-0.701062517238095,-4.1055847702698705
2002-10-01,-5.0055035980386045,-3.2366886121413523,-3.2434287120413523,-0.15311919633333343,-0.626452824991986,-3.9314465155751193
2002-11-01,-4.85576601514609,-3.151301698065338,-3.169830878765338,-0.04488912239999998,-0.583241397781773,-3.9862744561151815
2002-12-01,-5.051349280469417,-3.16995194547989,-3.20148389547989,-0.1789443052926827,-0.6980889033669062,-4.166346999495302
2003-01-01,-4.939347592203981,-2.9304914084408837,-2.9229877774408837,-0.1247961520000002,-0.5759269619844981,-4.040553166387945
2003-02-01,-4.859171469703829,-2.743022342090404,-2.743691945090404,-0.09204805399999996,-0.5396970135470623,-3.6508142809098136
2003-03-01,-4.800401108028178,-2.5939783617785266,-2.5872614767785267,-0.09697975914285728,-0.22560719676349306,-3.633213194590838
2003-04-01,-5.092428318655739,-2.644748218001307,-2.5900670915013073,-0.08982871428554244,-0.11221058572384551,-3.6971923686381922
2003-05-01,-4.938448605199382,-2.401942635784748,-2.411572695484748,-0.029550466100000172,-0.14128286042505575,-3.6985509483968437
2003-06-01,-4.612244957652676,-2.0333361673722634,-2.0001427777722633,0.0013595775117649367,-0.08629214168218528,-3.526950447997147
2003-07-01,-4.606738978673255,-2.0349921465341847,-2.0102379499341847,-0.048522801599999936,-0.09788774131727776,-3.3753763476597736
2003-08-01,-4.895425195232678,-2.1371932893865715,-2.1610204194865714,-0.06379434282857135,-0.1345898536688166,-3.569874044627273
2003-09-01,-5.180369826772796,-2.311181043719371,-2.316443411719371,-0.11393206572873567,-0.19802544767034846,-3.894286075573197
2003-10-01,-5.114713876607771,-2.0749076434966125,-2.0449167727966127,-0.07505347417802183,-0.07837239395441792,-3.7859684729845635
2003-11-01,-5.530286624871192,-2.303601700544236,-2.300750489244236,-0.13014600843478263,-0.18534594473298693,-4.147938846573587
2003-12-01,-5.7186300189333386,-2.1995567703099876,-2.198049129709988,-0.06846000218924783,-0.13258738522434485,-4.200691173339302
2004-01-01,-5.601140720835946,-2.0603803792060957,-2.052268731906096,-0.08379177169999993,-0.0737117982147458,-4.180913972367024
2004-02-01,-5.308257732116602,-1.9511986874518985,-1.9804006106518985,-0.03425782663829769,-0.10232302926638849,-4.023933112246378
2004-03-01,-5.440299395340768,-1.979761314913606,-1.991459892913606,0.006837654165217352,-0.16477682288740986,-4.2417756690459445
2004-04-01,-5.192881549214833,-2.0415517475473437,-2.022624632847344,-0.00482393309677441,-0.1677059813643886,-4.318337557065122
2004-05-01,-5.403540948396804,-2.1126644661952354,-2.1358687420952354,-0.1433118959213485,-0.23545045978412923,-4.67086696925868
2004-06-01,-5.667042446053684,-2.116688983090467,-2.114041503090467,-0.042391021499999945,-0.32609291956317216,-4.825713937524011
2004-07-01,-5.405480843297793,-2.1146562177095802,-2.12648323470958,-0.13391408599999996,-0.42201290552101556,-4.796122463292548
2004-08-01,-5.343153246899226,-2.1303083446368505,-2.147279345636851,-0.09792232999999975,-0.48686183850471637,-4.8588908620852385
2004-09-01,-5.664911429174844,-2.17560391626911,-2.16576386286911,-0.12418389797802165,-0.6142072327727778,-4.966471137697507
2004-10-01,-5.692220540512307,-2.2525278689075545,-2.2566969550075546,-0.15221723034782578,-0.7180055118704128,-5.058697626435919
2004-11-01,-5.358054761150363,-2.253029770379312,-2.227816472879312,-0.0756224579999998,-0.6628937789431665,-5.0748728962269904
2004-12-01,-5.37617647922834,-2.0817512618598384,-2.0773026589598382,-0.06201950133333339,-0.5630659448882788,-4.6917206070151405
2005-01-01,-5.519294012581691,-2.086744329622547,-2.1081771968225467,-0.07695731862886589,-0.6080497879576817,-4.882583674439423
2005-02-01,-5.635983282591706,-2.1440089320120728,-2.152876979712073,-0.07279897950000004,-0.6635813640379814,-4.918245301643115
